,Name,char,seiyuu
21273,Tales of Symphonia the Animation: Tethe'alla Episode,Colette Brunel , Nana Mizuki
21274,Tales of Symphonia the Animation: Tethe'alla Episode, Genis Sage , Ai Orikasa
21275,Tales of Symphonia the Animation: Tethe'alla Episode, Lloyd Irving , Katsuyuki Konishi
21276,Tales of Symphonia the Animation: Tethe'alla Episode, Raine Sage , Yumi Touma
21277,Tales of Symphonia the Animation: Tethe'alla Episode, Sheena Fujibayashi , Akemi Okamura
21278,Tales of Symphonia the Animation: Tethe'alla Episode, Zelos Wilder , Masaya Onosaka
21279,Tales of Symphonia the Animation: Tethe'alla Episode, Altessa , Eiji Takemoto
21280,Tales of Symphonia the Animation: Tethe'alla Episode, Corrine , Kanako Tateno
21299,Smile Down the Runway,Chiyuki Fujito , Yumiri Hanamori
21300,Smile Down the Runway, Ikuto Tsumura , Natsuki Hanae
21301,Smile Down the Runway, Kokoro Hasegawa , Ai Kayano
21302,Smile Down the Runway, Aoi Tsumura , Hibiku Yamamura
21303,Smile Down the Runway, Fumiyo Niinuma , Ayaka Suwa
21304,Smile Down the Runway, Hajime Yanagida , Junichi Suwabe
21305,Smile Down the Runway, Honoka Tsumura , Yui Ishikawa
21306,Smile Down the Runway, Ichika Tsumura , Hikaru Akao
21313,Sailor Moon S,Ami Mizuno , Aya Hisakawa
21314,Sailor Moon S, Chibi-Usa , Kae Araki
21315,Sailor Moon S, Haruka Tenoh , Megumi Ogata
21316,Sailor Moon S, Hotaru Tomoe , Yuuko Minaguchi
21317,Sailor Moon S, Makoto Kino , Emi Shinohara
21318,Sailor Moon S, Mamoru Chiba , Tooru Furuya
21319,Sailor Moon S, Michiru Kaioh , Masako Katsuki
21320,Sailor Moon S, Minako Aino , Rica Fukami
21329,Is the Order a Rabbit? Bloom,Chino Kafuu , Inori Minase
21330,Is the Order a Rabbit? Bloom, Chiya Ujimatsu , Satomi Satou
21331,Is the Order a Rabbit? Bloom, Cocoa Hoto , Ayane Sakura
21332,Is the Order a Rabbit? Bloom, Rize Tedeza , Risa Taneda
21333,Is the Order a Rabbit? Bloom, Sharo Kirima , Maaya Uchida
21334,Is the Order a Rabbit? Bloom, Maya Jouga , Sora Tokui
21335,Is the Order a Rabbit? Bloom, Megumi Natsu , Rie Murakawa
21336,Is the Order a Rabbit? Bloom, Takahiro Kafuu , Shou Hayami
21340,Kakegurui XX,Ryouta Suzui , Tatsuya Tokutake
21341,Kakegurui XX, Yumeko Jabami , Saori Hayami
21342,Kakegurui XX, Kirari Momobami , Miyuki Sawashiro
21343,Kakegurui XX, Mary Saotome , Minami Tanaka
21344,Kakegurui XX, Rei Batsubami , Romi Park
21345,Kakegurui XX, Erimi Mushibami , Ayana Taketatsu
21346,Kakegurui XX, Girl , Kaya Okuno
21347,Kakegurui XX, Horo Jomaru , Takehito Koyasu
21356,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars",Rikka Takanashi , Maaya Uchida
21357,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Yuuta Togashi , Jun Fukuyama
21358,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Kumin Tsuyuri , Azumi Asakura
21359,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Sanae Dekomori , Sumire Uesaka
21360,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Shinka Nibutani , Chinatsu Akasaki
21361,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Chimaera , Kanae Oki
21362,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Kuzuha Togashi , Kaori Fukuhara
21363,"Love, Chunibyo & Other Delusions! Heart Throb: The Rikka Wars", Makoto Isshiki , Souichirou Hoshi
21364,Tonari no Seki-kun: The Master of Killing Time,Rumi Yokoi , Kana Hanazawa
21365,Tonari no Seki-kun: The Master of Killing Time, Toshinari Seki , Hiro Shimono
21366,Tonari no Seki-kun: The Master of Killing Time, Adachi , Jiro Saito
21367,Tonari no Seki-kun: The Master of Killing Time, Goto , Satomi Satou
21368,Tonari no Seki-kun: The Master of Killing Time, Maeda , Shigeyuki Susaki
21369,Tonari no Seki-kun: The Master of Killing Time, Rumi'S Mother , Miki Itou
21370,Tonari no Seki-kun: The Master of Killing Time, Tomoka Hashino , Kokoro Kikuchi
21371,Tonari no Seki-kun: The Master of Killing Time, Uzawa , Minoru Shiraishi
21378,Mobile Suit Gundam: Char's Counterattack,Amuro Ray , Tooru Furuya
21379,Mobile Suit Gundam: Char's Counterattack, Char Aznable , Shuuichi Ikeda
21380,Mobile Suit Gundam: Char's Counterattack, Adenauer Paraya , Shunsuke Shima
21381,Mobile Suit Gundam: Char's Counterattack, Bright Noa , Hirotaka Suzuoki
21382,Mobile Suit Gundam: Char's Counterattack, Chan Agi , Mitsuki Yayoi
21383,Mobile Suit Gundam: Char's Counterattack, Gyunei Guss , Kouichi Yamadera
21384,Mobile Suit Gundam: Char's Counterattack, Hathaway Noa , Nozomu Sasaki
21385,Mobile Suit Gundam: Char's Counterattack, Nanai Miguel , Yoshiko Sakakibara
21394,Toward the Terra TV,Jomy Marquis Shin , Mitsuki Saiga
21395,Toward the Terra TV, Keith Anyan , Takehito Koyasu
21396,Toward the Terra TV, Soldier Blue , Tomokazu Sugita
21397,Toward the Terra TV, Ella , Fumi Oda
21398,Toward the Terra TV, Harley , Juurouta Kosugi
21399,Toward the Terra TV, Jonah Matsuka , Motoki Takagi
21400,Toward the Terra TV, Leo , Daisuke Namikawa
21401,Toward the Terra TV, Physis , Sanae Kobayashi
21410,Penguin Highway,Aoyama , Kana Kita
21411,Penguin Highway, Onee-San , Yuu Aoi
21412,Penguin Highway, Hamamoto , Megumi Han
21413,Penguin Highway, Hamamoto'S Father , Naoto Takenaka
21414,Penguin Highway, Suzuki , Miki Fukui
21415,Penguin Highway, Uchida , Rie Kugimiya
21416,Penguin Highway, Aoki , Miyuki Kobori
21417,Penguin Highway, Aoyama'S Father , Hidetoshi Nishijima
21426,Blue Exorcist OVA,Juuzou Shima , Katsuyuki Konishi
21427,Blue Exorcist OVA, Mamushi Houjou , M.A.O.
21428,Blue Exorcist OVA, Renzou Shima , Kouji Yusa
21429,Blue Exorcist OVA, Mephisto Pheles , Hiroshi Kamiya
21430,Blue Exorcist OVA, Saburouta Toudou , Kazuhiro Yamaji
21431,Blue Exorcist OVA, Yukio Okumura , Jun Fukuyama
21432,Blue Exorcist OVA, Amaimon , Tetsuya Kakihara
21433,Blue Exorcist OVA, Ao Houjou , Maya Nishimura
21442,Dragon Ball Z Special 1: Bardock - The Father of Goku,Bardock , Masako Nozawa
21443,Dragon Ball Z Special 1: Bardock - The Father of Goku, Dodoria , Yukitoshi Hori
21444,Dragon Ball Z Special 1: Bardock - The Father of Goku, Frieza , Ryuusei Nakao
21445,Dragon Ball Z Special 1: Bardock - The Father of Goku, Goku Son , Masako Nozawa
21446,Dragon Ball Z Special 1: Bardock - The Father of Goku, Panpuukin , Takeshi Watabe
21447,Dragon Ball Z Special 1: Bardock - The Father of Goku, Totepo , Kozo Shioya
21448,Dragon Ball Z Special 1: Bardock - The Father of Goku, Vegeta , Ryou Horikawa
21455,The Faraway Paladin,William G. Maryblood , Maki Kawase
21456,The Faraway Paladin, Augustus , Nobuo Tobita
21457,The Faraway Paladin, Blood , Katsuyuki Konishi
21458,The Faraway Paladin, Mary , Yui Horie
21459,The Faraway Paladin, Meneldor , Ayumu Murase
21460,The Faraway Paladin, Robina Goodfellow , Eri Suzuki
21461,The Faraway Paladin, Tonio , Kouji Yusa
21462,The Faraway Paladin, Anna , Keiko Watanabe
21469,Les Miserables: Shoujo Cosette,Cosette , Kaori Nazuka
21470,Les Miserables: Shoujo Cosette, Eponine Thenardier , Yuko Sasamoto
21471,Les Miserables: Shoujo Cosette, Gavroche , Yumiko Kobayashi
21472,Les Miserables: Shoujo Cosette, Javert , Takashi Matsuyama
21473,Les Miserables: Shoujo Cosette, Jean Valjean , Masashi Sugawara
21474,Les Miserables: Shoujo Cosette, Marius Pontmercy , Anri Katsu
21475,Les Miserables: Shoujo Cosette, Alan , Anri Katsu
21476,Les Miserables: Shoujo Cosette, Audrey , Haruka Tomatsu
21486,ChibiReve,Ken Ryuguji , Tatsuhisa Suzuki
21487,ChibiReve, Takemichi Hanagaki , Yuuki Shin
21488,ChibiReve, Atsushi Sendo , Takuma Terashima
21489,ChibiReve, Haruki Hayashida , Subaru Kimura
21490,ChibiReve, Hinata Tachibana , Azumi Waki
21491,ChibiReve, Kazushi Yamagishi , Shouta Hayama
21492,ChibiReve, Makoto Suzuki , Shunsuke Takeuchi
21493,ChibiReve, Manjiro Sano , Yuu Hayashi
21494,Ojii-san no Lamp,Minosuke , Hiroshi Kamiya
21495,Ojii-san no Lamp, Setsu , Risa Shimizu
21497,Ojii-san no Lamp, Lampshop Owner , Mitsuru Ogata
21498,Ojii-san no Lamp, Toichi , Mana Hirata
21503,Kiratto Pri-chan 2nd Season,Emo Moegi , Miyu Kubota
21504,Kiratto Pri-chan 2nd Season, Mirai Momoyama , Coco Hayashi
21505,Kiratto Pri-chan 2nd Season, Rinka Aoba , Nanami Atsugi
21506,Kiratto Pri-chan 2nd Season, Anna Akagi , Yuu Serizawa
21507,Kiratto Pri-chan 2nd Season, Daia , Rico Sasaki
21508,Kiratto Pri-chan 2nd Season, Daia Nijinosaki , Rico Sasaki
21509,Kiratto Pri-chan 2nd Season, Maria Kanamori , Himika Akaneya
21510,Kiratto Pri-chan 2nd Season, Meganee Akai , Kanae Itou
21512,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete,Erena Amamiya , Kiyono Yasuno
21513,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Hikaru Hoshina , Eimi Naruse
21514,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Lala Hagoromo , Konomi Kohara
21515,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Madoka Kaguya , Mikako Komatsu
21516,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Yuni , Sumire Uesaka
21518,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Burn , Shunsuke Sakuya
21519,Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete, Chop , Ryuusuke Komakine
21523,Motto To Love Ru,Lala Satalin Deviluke , Haruka Tomatsu
21524,Motto To Love Ru, Rito Yuuki , Akeno Watanabe
21525,Motto To Love Ru, Haruna Sairenji , Sayuri Yahagi
21526,Motto To Love Ru, Mikan Yuuki , Kana Hanazawa
21527,Motto To Love Ru, Momo Belia Deviluke , Aki Toyosaki
21528,Motto To Love Ru, Nana Asta Deviluke , Kanae Itou
21529,Motto To Love Ru, Peke , Satomi Arai
21530,Motto To Love Ru, Run Elsie Jewelria , Fuyuka Ooura
21539,We Never Learn OVA,Asumi Kominami , Madoka Asahina
21540,We Never Learn OVA, Mafuyu Kirisu , Lynn
21541,We Never Learn OVA, Nariyuki Yuiga , Ryouta Oosaka
21542,We Never Learn OVA, Fumino Furuhashi , Haruka Shiraishi
21543,We Never Learn OVA, Hazuki Yuiga , Mayu Mineda
21544,We Never Learn OVA, Kazuki Yuiga , Natsumi Fujiwara
21545,We Never Learn OVA, Mizuki Yuiga , Marika Kouno
21546,We Never Learn OVA, Rizu Ogata , Miyu Tomita
21548,Hetalia: The World Twinkle,Germany , Hiroki Yasumoto
21549,Hetalia: The World Twinkle, Italy , Daisuke Namikawa
21550,Hetalia: The World Twinkle, Japan , Hiroki Takahashi
21551,Hetalia: The World Twinkle, America , Katsuyuki Konishi
21552,Hetalia: The World Twinkle, China , Yuki Kaida
21553,Hetalia: The World Twinkle, England , Noriaki Sugiyama
21554,Hetalia: The World Twinkle, France , Masaya Onosaka
21555,Hetalia: The World Twinkle, Russia , Yasuhiro Takato
21559,Akagi,Shigeru Akagi , Masato Hagiwara
21560,Akagi, Fake Akagi , Ginpei Sato
21561,Akagi, Ichikawa , Hideyuki Tanaka
21562,Akagi, Ishikawa , Nobuaki Fukuda
21563,Akagi, Iwao Washizu , Masane Tsukayama
21564,Akagi, Keiji Yagi , Wataru Takagi
21565,Akagi, Nangou , Rikiya Koyama
21566,Akagi, Ohgi , Issei Futamata
21575,Kino's Journey: Tower Country,Kino , Ai Maeda
21576,Kino's Journey: Tower Country, Hermes , Ryuji Aigase
21579,Comedy,The Black Swordsman , Hikaru Midorikawa
21580,Comedy, The Young Girl , Ai Maeda
21584,Love Live! Sunshine!! 2nd Season,Chika Takami , Anju Inami
21585,Love Live! Sunshine!! 2nd Season, Dia Kurosawa , Arisa Komiya
21586,Love Live! Sunshine!! 2nd Season, Hanamaru Kunikida , Kanako Takatsuki
21587,Love Live! Sunshine!! 2nd Season, Kanan Matsuura , Nanaka Suwa
21588,Love Live! Sunshine!! 2nd Season, Mari Ohara , Aina Suzuki
21589,Love Live! Sunshine!! 2nd Season, Riko Sakurauchi , Rikako Aida
21590,Love Live! Sunshine!! 2nd Season, Ruby Kurosawa , Ai Furihata
21591,Love Live! Sunshine!! 2nd Season, Yoshiko Tsushima , Aika Kobayashi
21597,Melancholy of Haruhi-chan Suzumiya,Haruhi Suzumiya , Aya Hirano
21598,Melancholy of Haruhi-chan Suzumiya, Itsuki Koizumi , Daisuke Ono
21599,Melancholy of Haruhi-chan Suzumiya, Kyon , Tomokazu Sugita
21600,Melancholy of Haruhi-chan Suzumiya, Mikuru Asahina , Yuuko Gotou
21601,Melancholy of Haruhi-chan Suzumiya, Ryoko Asakura , Natsuko Kuwatani
21602,Melancholy of Haruhi-chan Suzumiya, Yuki Nagato , Minori Chihara
21603,Melancholy of Haruhi-chan Suzumiya, Kimidori , Minoru Shiraishi
21604,Melancholy of Haruhi-chan Suzumiya, Tsuruya , Yuki Matsuoka
21610,The Ambition of Oda Nobuna,Nobuna Oda , Kanae Itou
21611,The Ambition of Oda Nobuna, Yoshiharu Sagara , Takuya Eguchi
21612,The Ambition of Oda Nobuna, Goemon Hachisuka , Tomoko Kaneda
21613,The Ambition of Oda Nobuna, Hanbei Takenaka , Yui Ogura
21614,The Ambition of Oda Nobuna, Katsuie Shibata , Hitomi Nabatame
21615,The Ambition of Oda Nobuna, Mitsuhide Akechi , Sayuri Yahagi
21616,The Ambition of Oda Nobuna, Nagahide Niwa , Rei Matsuzaki
21617,The Ambition of Oda Nobuna, Toshiie Maeda , Misato Fukuen
21624,Trinity Seven Movie: Eternal Library & Alchemic Girl,Akio Fudou , Ryouka Yuzuki
21625,Trinity Seven Movie: Eternal Library & Alchemic Girl, Arata Kasuga , Yoshitsugu Matsuoka
21626,Trinity Seven Movie: Eternal Library & Alchemic Girl, Arin Kannazuki , Aya Uchida
21627,Trinity Seven Movie: Eternal Library & Alchemic Girl, Levi Kazama , Ayane Sakura
21628,Trinity Seven Movie: Eternal Library & Alchemic Girl, Lieselotte Sherlock , Nao Touyama
21629,Trinity Seven Movie: Eternal Library & Alchemic Girl, Lilim , Rina Hidaka
21630,Trinity Seven Movie: Eternal Library & Alchemic Girl, Lilith Asami , Yumi Hara
21631,Trinity Seven Movie: Eternal Library & Alchemic Girl, Mira Yamana , Youko Hikasa
21640,Beyblade Burst Dynamite Battle,Bell Daikokuten , Mutsumi Tamura
21641,Beyblade Burst Dynamite Battle, Basara Suiryuu , Katsumi Fukuhara
21642,Beyblade Burst Dynamite Battle, Free De La Hoya , Ryouko Shiraishi
21643,Beyblade Burst Dynamite Battle, Hannah Suiryuu , Rina Honizumi
21644,Beyblade Burst Dynamite Battle, Ilya Mao , Lynn
21645,Beyblade Burst Dynamite Battle, Lui Shirasagijo , Romi Park
21646,Beyblade Burst Dynamite Battle, Ranzo Kiyama , Fumihiro Okabayashi
21647,Beyblade Burst Dynamite Battle, Rashad Goodman , Daisuke Ono
21653,Naruto Shippuden Movie 3: The Will of Fire,Hiruko , Souichirou Hoshi
21654,Naruto Shippuden Movie 3: The Will of Fire, Kakashi Hatake , Kazuhiko Inoue
21655,Naruto Shippuden Movie 3: The Will of Fire, Naruto Uzumaki , Junko Takeuchi
21656,Naruto Shippuden Movie 3: The Will of Fire, Sai , Satoshi Hino
21657,Naruto Shippuden Movie 3: The Will of Fire, Sakura Haruno , Chie Nakamura
21658,Naruto Shippuden Movie 3: The Will of Fire, Shikamaru Nara , Showtaro Morikubo
21659,Naruto Shippuden Movie 3: The Will of Fire, Choji Akimichi , Kentarou Itou
21660,Naruto Shippuden Movie 3: The Will of Fire, Gaara , Akira Ishida
21668,ItaKiss,Kotoko Aihara , Nana Mizuki
21669,ItaKiss, Naoki Irie , Daisuke Hirakawa
21670,ItaKiss, Kinnosuke Ikezawa , Shuuhei Sakaguchi
21671,ItaKiss, Noriko Irie , Naoko Matsui
21672,ItaKiss, Yuuki Irie , Romi Park
21673,ItaKiss, Ayako Matsumoto , Saori Seto
21674,ItaKiss, Christine Robbins , Yuuko Gotou
21675,ItaKiss, Christine'S Father , Yutaka Aoyama
21681,Detective Academy Q,Kyu Renjo , Megumi Ogata
21682,Detective Academy Q, Megumi Minami , Houko Kuwashima
21683,Detective Academy Q, Ryu Amakusa , Kouichi Toochika
21684,Detective Academy Q, Kazuma Narusawa , Tomoko Kawakami
21685,Detective Academy Q, Kinta Toyama , Hideo Ishikawa
21686,Detective Academy Q, Morihiko Dan , Hideyuki Tanaka
21687,Detective Academy Q, Yutaka Saburoumaru , Nobuo Tobita
21688,Detective Academy Q, Akane Minami , Miho Yamada
21697,Ah! My Goddess: Fighting Wings,Belldandy , Kikuko Inoue
21698,Ah! My Goddess: Fighting Wings, Hild , Gara Takashima
21699,Ah! My Goddess: Fighting Wings, Keiichi Morisato , Masami Kikuchi
21700,Ah! My Goddess: Fighting Wings, Lind , Miki Itou
21701,Ah! My Goddess: Fighting Wings, Peorth , Rei Sakuma
21702,Ah! My Goddess: Fighting Wings, Skuld , Aya Hisakawa
21703,Ah! My Goddess: Fighting Wings, Urd , Yumi Touma
21704,Ah! My Goddess: Fighting Wings, Marller ,  Urara Takano
21711,Rent-A-Girlfriend,Chizuru Mizuhara , Sora Amamiya
21712,Rent-A-Girlfriend, Kazuya Kinoshita , Shun Horie
21713,Rent-A-Girlfriend, Mami Nanami , Aoi Yuuki
21714,Rent-A-Girlfriend, Nagomi Kinoshita , Yukari Nozawa
21715,Rent-A-Girlfriend, Ruka Sarashina , Nao Touyama
21716,Rent-A-Girlfriend, Shun Kuribayashi , Gakuto Kajiwara
21717,Rent-A-Girlfriend, Yoshiaki Kibe , Masayuki Akasaka
21718,Rent-A-Girlfriend, Harumi Kinoshita , Miki Natsutani
21727,Over Drive,Mikoto Shinozaki , Yuuki Kaji
21730,Over Drive, Takeshi Yamato , Kishou Taniyama
21731,Over Drive, Yousuke Fukazawa , Makoto Yasumura
21732,Over Drive, Yuki Fukazawa , Kaori Nazuka
21743,One Piece Movie 5: The Curse of the Sacred Sword,Monkey D. Luffy , Mayumi Tanaka
21744,One Piece Movie 5: The Curse of the Sacred Sword, Nami , Akemi Okamura
21745,One Piece Movie 5: The Curse of the Sacred Sword, Robin Nico , Yuriko Yamaguchi
21746,One Piece Movie 5: The Curse of the Sacred Sword, Sanji , Hiroaki Hirata
21747,One Piece Movie 5: The Curse of the Sacred Sword, Tony Tony Chopper , Ikue Ootani
21748,One Piece Movie 5: The Curse of the Sacred Sword, Usopp , Kappei Yamaguchi
21749,One Piece Movie 5: The Curse of the Sacred Sword, Zoro Roronoa , Kazuya Nakai
21750,One Piece Movie 5: The Curse of the Sacred Sword, Izaya , Masami Hisamoto
21756,Free! Movie: The Final Stroke - Zenpen,Haruka Nanase , Nobunaga Shimazaki
21757,Free! Movie: The Final Stroke - Zenpen, Ikuya Kirishima , Kouki Uchiyama
21758,Free! Movie: The Final Stroke - Zenpen, Makoto Tachibana , Tatsuhisa Suzuki
21759,Free! Movie: The Final Stroke - Zenpen, Rin Matsuoka , Mamoru Miyano
21760,Free! Movie: The Final Stroke - Zenpen, Aiichiro Nitori , Kouki Miyata
21762,Free! Movie: The Final Stroke - Zenpen, Asahi Shiina , Toshiyuki Toyonaga
21763,Free! Movie: The Final Stroke - Zenpen, Hiyori Toono , Ryouhei Kimura
21768,Place to Place: Place=Princess,Hime Haruno , Kaori Fukuhara
21769,Place to Place: Place=Princess, Io Otonashi , Nobuhiko Okamoto
21770,Place to Place: Place=Princess, Mayoi Katase , Hitomi Nabatame
21771,Place to Place: Place=Princess, Sakaki Inui , Shintarou Asanuma
21772,Place to Place: Place=Princess, Tsumiki Miniwa , Rumi Ookubo
21773,Place to Place: Place=Princess, Kana Miyama , Hiromi Konno
21774,Place to Place: Place=Princess, Saki Sakimori , Natsumi Takamori
21775,Place to Place: Place=Princess, Kyouya Saibara , Tsubasa Yonaga
21777,Tales of Zestiria: The X (2017),Edna , Misato Fukuen
21778,Tales of Zestiria: The X (2017), Lailah , Noriko Shitaya
21779,Tales of Zestiria: The X (2017), Mikleo , Ryouta Oosaka
21780,Tales of Zestiria: The X (2017), Rose , Mikako Komatsu
21781,Tales of Zestiria: The X (2017), Sorey , Ryouhei Kimura
21782,Tales of Zestiria: The X (2017), Alisha Diphda , Ai Kayano
21783,Tales of Zestiria: The X (2017), Dezel , Daisuke Ono
21784,Tales of Zestiria: The X (2017), Lord Of Calamity , Takayuki Sugou
21798,Ghost Stories,Hajime Aoyama , Takako Honda
21799,Ghost Stories, Keiichirou Miyanoshita , Kurumi Mamiya
21800,Ghost Stories, Leo Kakinoki , Makoto Tsumura
21801,Ghost Stories, Momoko Koigakubo , Kumi Sakuma
21802,Ghost Stories, Satsuki Miyanoshita , Tomoko Kawakami
21803,Ghost Stories, Amanojaku , Ryuusei Nakao
21804,Ghost Stories, Reiichirou Miyanoshita , Takehiro Murozono
21805,Ghost Stories, Sakata , Yutaka Aoyama
21813,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 2 - Tamashii,Gin Minowa , Yumiri Hanamori
21814,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 2 - Tamashii, Mimori Togo , Suzuko Mimori
21815,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 2 - Tamashii, Sonoko Nogi , Kana Hanazawa
21816,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou Part 2 - Tamashii, Aki , Rina Satou
21822,Uta no Prince-sama: Maji Love 2000%,Cecil Aijima , Kohsuke Toriumi
21823,Uta no Prince-sama: Maji Love 2000%, Haruka Nanami , Miyuki Sawashiro
21824,Uta no Prince-sama: Maji Love 2000%, Masato Hijirikawa , Kenichi Suzumura
21825,Uta no Prince-sama: Maji Love 2000%, Natsuki Shinomiya , Kishou Taniyama
21826,Uta no Prince-sama: Maji Love 2000%, Otoya Ittoki , Takuma Terashima
21827,Uta no Prince-sama: Maji Love 2000%, Ren Jinguuji , Junichi Suwabe
21828,Uta no Prince-sama: Maji Love 2000%, Syo Kurusu , Hiro Shimono
21829,Uta no Prince-sama: Maji Love 2000%, Tokiya Ichinose , Mamoru Miyano
21836,Macross Plus,Guld Goa Bowman , Unshou Ishizuka
21837,Macross Plus, Isamu Alva Dyson , Takumi Yamazaki
21838,Macross Plus, Myung Fang Long , Rica Fukami
21839,Macross Plus, Sharon Apple , Mako Hyoudou
21840,Macross Plus, Yang Neumann , Tomohiro Nishimura
21841,Macross Plus, Gomez , Kouichi Kitamura
21842,Macross Plus, Higgins , Masaharu Satou
21843,Macross Plus, Kate Masseau , Urara Takano
21852,Lupin III Special 28: Prison of the Past,Arsene Lupin Iii , Kanichi Kurita
21853,Lupin III Special 28: Prison of the Past, Daisuke Jigen , Kiyoshi Kobayashi
21854,Lupin III Special 28: Prison of the Past, Fujiko Mine , Miyuki Sawashiro
21855,Lupin III Special 28: Prison of the Past, Goemon Ishikawa Xiii , Daisuke Namikawa
21856,Lupin III Special 28: Prison of the Past, Gorou Yatagarasu , Nobunaga Shimazaki
21857,Lupin III Special 28: Prison of the Past, Koichi Zenigata , Kouichi Yamadera
21858,Lupin III Special 28: Prison of the Past, Berte , Shinichirou Miki
21859,Lupin III Special 28: Prison of the Past, Doc Heinz , Hiroshi Yanaka
21868,Mary and the Witch's Flower,Mary Smith , Hana Sugisaki
21869,Mary and the Witch's Flower, Charlotte , Shinobu Otake
21870,Mary and the Witch's Flower, Doctor Dee , Fumiyo Kohinata
21871,Mary and the Witch's Flower, Madam Mumblechook , Yuuki Amami
21872,Mary and the Witch's Flower, Peter , Ryunosuke Kamiki
21874,Mary and the Witch's Flower, Banks , Eri Watanabe
21892,The Idaten Deities Know Only Peace,Hayato , Romi Park
21893,The Idaten Deities Know Only Peace, Paula , Yui Horie
21894,The Idaten Deities Know Only Peace, Rin , Akemi Okamura
21895,The Idaten Deities Know Only Peace, Ysley , Megumi Ogata
21896,The Idaten Deities Know Only Peace, Brandy , Youko Honna
21897,The Idaten Deities Know Only Peace, Cory , Shizuka Ishigami
21898,The Idaten Deities Know Only Peace, Dr. Obami , Choo
21899,The Idaten Deities Know Only Peace, Gil , Shizuka Itou
21908,Handa-kun,Akane Tsutsui , Yoshimasa Hosoya
21909,Handa-kun, Junichi Aizawa , Yuuya Hirose
21910,Handa-kun, Reo Nikaidou , Tetsuya Kakihara
21911,Handa-kun, Sei Handa , Nobunaga Shimazaki
21912,Handa-kun, Yukio Kondou , Daiki Yamashita
21913,Handa-kun, Kei Hanada , Yusuke Shirai
21914,Handa-kun, Kotaro Higashino , Makoto Furukawa
21915,Handa-kun, Miyoko Kinjou , Kaede Hondo
21922,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata,Conan Edogawa , Minami Takayama
21923,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Ran Mori , Wakana Yamazaki
21924,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Daisuke , Kikumi Umeda
21925,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Kogoro Mori , Akira Kamiya
21926,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Shinichi Kudo , Minami Takayama
21927,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Ai Haibara , Megumi Hayashibara
21928,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Ayumi Yoshida , Yukiko Iwai
21929,Detective Conan Magic File 3: Shinichi and Ran: Memories of Mahjong Tiles and Tanabata, Eri Kisaki , Gara Takashima
21937,Rurouni Kenshin: New Kyoto Arc,Kenshin Himura , Mayo Suzukaze
21938,Rurouni Kenshin: New Kyoto Arc, Hajime Saitou , Ken Narita
21939,Rurouni Kenshin: New Kyoto Arc, Kaoru Kamiya , Miki Fujitani
21940,Rurouni Kenshin: New Kyoto Arc, Makoto Shishio , Masanori Ikeda
21941,Rurouni Kenshin: New Kyoto Arc, Misao Makimachi , Tomo Sakurai
21942,Rurouni Kenshin: New Kyoto Arc, Seiku Arai , Masaaki Ishikawa
21943,Rurouni Kenshin: New Kyoto Arc, Seta Sojiro , Noriko Hidaka
21944,Rurouni Kenshin: New Kyoto Arc, Yahiko Myojin , Miina Tominaga
21951,Fullmetal Alchemist: The Sacred Star of Milos,Alphonse Elric , Rie Kugimiya
21952,Fullmetal Alchemist: The Sacred Star of Milos, Ashley Crichton , Toshiyuki Morikawa
21953,Fullmetal Alchemist: The Sacred Star of Milos, Edward Elric , Romi Park
21954,Fullmetal Alchemist: The Sacred Star of Milos, Julia Crichton , Maaya Sakamoto
21955,Fullmetal Alchemist: The Sacred Star of Milos, Gonzales , Bruce Dubose
